State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andaman and Nicobar","North and Middle Andaman ",Diglipur,Cauliflower,Other,FAQ,09/03/2024,6000,10000,8000
"Andaman and Nicobar","North and Middle Andaman ",Diglipur,Ginger(Green),Other,FAQ,09/03/2024,20000,30000,25000
"Andaman and Nicobar","North and Middle Andaman ",Diglipur,"Little gourd (Kundru)",Other,FAQ,09/03/2024,6000,8000,6500
Bihar,Buxar,Brahmpur,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",FAQ,09/03/2024,13500,14500,14000
Bihar,Buxar,Brahmpur,"Red Gram","Masuri (W-S)",FAQ,09/03/2024,7500,8500,8000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,FAQ,09/03/2024,1200,2200,1800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,FAQ,09/03/2024,8000,11000,10000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,09/03/2024,300,1000,800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,09/03/2024,800,2400,2000
Chattisgarh,Dantewada,Gidam,Mahua,Other,FAQ,09/03/2024,2000,2200,2100
Chattisgarh,Dhamtari,Gattasilli,Paddy(Dhan)(Common),"I.R. 36",FAQ,09/03/2024,1600,1600,1600
Chattisgarh,Durg,Durg,Apple,Apple,Medium,09/03/2024,15000,17000,17000
Chattisgarh,Durg,Durg,"Bhindi(Ladies Finger)",Bhindi,FAQ,09/03/2024,3800,4000,3800
Chattisgarh,Durg,Durg,"Bitter gourd","Bitter Gourd",FAQ,09/03/2024,3600,4000,4000
Chattisgarh,Durg,Durg,Chikoos(Sapota),Sapota,Medium,09/03/2024,3500,4500,4500
Chattisgarh,Durg,Durg,Ginger(Green),"Green Ginger",FAQ,09/03/2024,9000,11000,11000
Chattisgarh,Durg,Durg,"Knool Khol","Knool Khol",FAQ,09/03/2024,1200,1300,1300
Chattisgarh,Durg,Durg,"Little gourd (Kundru)","Little gourd (Kundru)",FAQ,09/03/2024,2800,3200,3200
Chattisgarh,Durg,Durg,"Mousambi(Sweet Lime)",Mousambi,Medium,09/03/2024,4000,6000,6000
Chattisgarh,Durg,Durg,"Peas Wet","Peas Wet",FAQ,09/03/2024,3000,3500,3500
Chattisgarh,Durg,Durg,Pumpkin,Pumpkin,FAQ,09/03/2024,1000,1200,1200
Chattisgarh,Durg,Durg,"Sweet Potato","Sweet Potato",FAQ,09/03/2024,3000,3500,3000
Chattisgarh,Durg,Durg,Tomato,Tomato,FAQ,09/03/2024,1700,1900,1700
Chattisgarh,Kabirdham,Pandariya,Same/Savi,Other,FAQ,09/03/2024,3000,3000,3000
Chattisgarh,Mahasamund,Bhoring,Paddy(Dhan)(Common),"Paddy fine",FAQ,09/03/2024,2100,2100,2100
Chattisgarh,Raigarh,Raigarh,Potato,Other,FAQ,09/03/2024,1000,1400,1000
Chattisgarh,Raigarh,Raigarh,Tomato,Other,FAQ,09/03/2024,1300,1800,1300
Chattisgarh,Rajnandgaon,Rajnandgaon,"Mousambi(Sweet Lime)",Mousambi,Medium,09/03/2024,5000,8000,6500
Gujarat,Amreli,Bagasara,Cotton,Other,FAQ,09/03/2024,6250,7995,7122
Gujarat,Amreli,Rajula,Mustard,Mustard,FAQ,09/03/2024,4250,4250,4250
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bhindi(Ladies Finger)",Bhindi,FAQ,09/03/2024,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,09/03/2024,1200,1400,1300
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Brinjal,Other,FAQ,09/03/2024,1400,2250,1825
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Coriander(Leaves),Other,FAQ,09/03/2024,1000,1950,1475
Gujarat,Dahod,"Dahod(Veg. Market)",Brinjal,Brinjal,FAQ,09/03/2024,400,1000,800
Gujarat,Dahod,"Dahod(Veg. Market)",Cauliflower,Cauliflower,FAQ,09/03/2024,800,2500,2000
Gujarat,Dahod,"Dahod(Veg. Market)",Potato,Potato,FAQ,09/03/2024,1000,1600,1500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,09/03/2024,3000,4500,4000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Guar,Other,FAQ,09/03/2024,10000,10000,10000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Tomato,Other,FAQ,09/03/2024,1500,2000,1500
Gujarat,"Gir Somnath",Talalagir,"Bhindi(Ladies Finger)",Other,FAQ,09/03/2024,2000,4000,3000
Gujarat,"Gir Somnath",Talalagir,"Green Chilli",Other,FAQ,09/03/2024,3000,5000,4000
Gujarat,Jamnagar,Dhrol,Groundnut,Other,FAQ,09/03/2024,5000,6160,5580
Gujarat,Jamnagar,Dhrol,Wheat,Other,FAQ,09/03/2024,2175,2750,2465
Gujarat,Morbi,"Vankaner(Sub yard)",Brinjal,Other,FAQ,09/03/2024,2000,2500,2250
